Species abbr. (full name)	Tribe	Sex	ID	Depth	CDS unique ID	CDS tip label	AA unique ID	CDS reads depth after mapping to the ref. genome (mean|median)	Genome wide reads depth after mapping to the ref. genome (mean|median)	Ratio of CDS and genome wide reads depth (mean|median)
Chabri (Chalinochromis brichardi)	Lamprologini	F	AVA9	inter.	haplo99	Chabri_2	haplo74	8.68|8	11.41|10	0.76|0.8
Chabri (Chalinochromis brichardi)	Lamprologini	M	AVB2	inter.	haplo99	Chabri_2	haplo74	9.64|10	10.98|10	0.88|1
Chacya (Chalinochromis cyanophleps)	Lamprologini	M	LGG6	inter.	haplo100	Chacya_2	haplo75	12.26|12	11.98|10	1.02|1.2
Chacya (Chalinochromis cyanophleps)	Lamprologini	F	LGG7	inter.	haplo100	Chacya_2	haplo75	14.45|14	11.46|10	1.26|1.4
Chando (Chalinochromis sp. “ndobhoi”)	Lamprologini	M	KEE9	inter.	haplo99	Chando_2	haplo74	9.44|10	10.56|9	0.89|1.11
Chando (Chalinochromis sp. “ndobhoi”)	Lamprologini	F	KEF1	inter.	haplo99	Chando_2	haplo74	10.85|11	10.84|9	1|1.22
Chapop (Chalinochromis popelini)	Lamprologini	M	Bel07	inter.	haplo99	Chapop_2	haplo74	11.96|10	11.43|10	1.05|1
Chapop (Chalinochromis popelini)	Lamprologini	F	Bel09	inter.	haplo99	Chapop_2	haplo74	8.99|8	10.15|9	0.89|0.89
Juldic (Julidochromis dickfeldi)	Lamprologini	M	IRC4	inter.	haplo99	Juldic_2	haplo74	14.62|14	14.66|13	1|1.08
Juldic (Julidochromis dickfeldi)	Lamprologini	F	IRC5	inter.	haplo99	Juldic_2	haplo74	12.47|12	10.69|9	1.17|1.33
Julkom (Julidochromis sp. “kombe”)	Lamprologini	M	ILD9	inter.	haplo99	Julkom_2	haplo74	9.22|9	10.5|9	0.88|1
Julkom (Julidochromis sp. “kombe”)	Lamprologini	F	INA6	inter.	haplo99	Julkom_2	haplo74	7.18|7	9.78|8	0.73|0.88
JulmaN (Julidochromis marlieri)	Lamprologini	M	JXB5	inter.	haplo101	JulmaN_2_A	haplo74	17.01|16	13.23|12	1.29|1.33
JulmaN (Julidochromis marlieri)	Lamprologini	F	JXC1	inter.	haplo99	JulmaN_2_B	haplo74	12.8|12	12.78|11	1|1.09
JulmaS (Julidochromis sp. “marlieri south”)	Lamprologini	F	LBA1	inter.	haplo101	JulmaS_2_A	haplo74	8.76|8	11.95|11	0.73|0.73
JulmaS (Julidochromis sp. “marlieri south”)	Lamprologini	M	LBF3	inter.	haplo99	JulmaS_2_B	haplo74	11.52|12	12.75|11	0.9|1.09
Julmrk (Julidochromis marksmithi)	Lamprologini	M	LFG8	inter.	haplo101	Julmrk_2_A	haplo74	7.22|7	9.9|9	0.73|0.78
Julmrk (Julidochromis marksmithi)	Lamprologini	F	LFH1	inter.	haplo102	Julmrk_2_B	haplo74	10.3|10	12.73|11	0.81|0.91
Julorn (Julidochromis ornatus)	Lamprologini	M	ISB7	inter.	haplo103	Julorn_2	haplo74	9.03|9	9.7|8	0.93|1.12
Julorn (Julidochromis ornatus)	Lamprologini	F	ISC1	inter.	haplo103	Julorn_2	haplo74	11.86|12	12.46|11	0.95|1.09
Julreg (Julidochromis sp. “regani south”)	Lamprologini	F	IRB2	inter.	haplo102	Julreg_2	haplo74	11.65|12	9.65|8	1.21|1.5
Julreg (Julidochromis sp. “regani south”)	Lamprologini	M	IRB8	inter.	haplo102	Julreg_2	haplo74	8.66|9	11.06|10	0.78|0.9
JulreK (Julidochromis regani)	Lamprologini	F	KFF4	inter.	haplo104	JulreK_2	haplo76	9.46|9	10.86|10	0.87|0.9
JulreK (Julidochromis regani)	Lamprologini	M	KHE6	inter.	haplo104	JulreK_2	haplo76	7.14|7	10.24|9	0.7|0.78
Jultra (Julidochromis transcriptus)	Lamprologini	M	HFG1287	NA	haplo99	Jultra_2	haplo74	14.31|14	16.18|14	0.44|0.5
Jultra (Julidochromis transcriptus)	Lamprologini	F	LJC2	NA	haplo99	Jultra_2	haplo74	13.8|14	14.59|13	0.47|0.54
Julunt (Julidochromis sp. “unterfels”)	Lamprologini	M	JWA1	NA	haplo105	Julunt_2_A	haplo74	21.42|22	20.97|19	0.51|0.58
Julunt (Julidochromis sp. “unterfels”)	Lamprologini	F	JWA2	NA	haplo106	Julunt_2_B	haplo74	21.17|21	23.49|22	0.45|0.48
Lamcal (Lamprologus callipterus)	Lamprologini	M	IPH2	inter.	haplo107	Lamcal_2	haplo77	16.31|17	14.82|13	1.1|1.31
Lamcal (Lamprologus callipterus)	Lamprologini	F	JAB1	inter.	haplo107	Lamcal_2	haplo77	9.22|9	11.49|10	0.8|0.9
Lamkun (Lamprologus kungweensis)	Lamprologini	M	JXG8	inter.	haplo99	Lamkun_2	haplo74	15.02|15	19.92|17	0.38|0.44
Lamkun (Lamprologus kungweensis)	Lamprologini	F	JXH2	inter.	haplo99	Lamkun_2	haplo74	20.17|20	19.85|17	0.51|0.59
Lamlem (Lamprologus lemairii)	Lamprologini	F	IPD6	inter.	haplo108	Lamlem_2	haplo74	7.18|7	9.67|8	0.74|0.88
Lamlem (Lamprologus lemairii)	Lamprologini	M	IZI7	inter.	haplo108	Lamlem_2	haplo74	9.89|10	11.86|10	0.83|1
Lammel (Lamprologus meleagris)	Lamprologini	M	JWA8	NA	NA	NA	NA	5.35|6	9|7	0.59|0.86
Lammel (Lamprologus meleagris)	Lamprologini	F	JWA9	NA	haplo109	Lammel_1	haplo78	9.71|10	17.08|14	0.28|0.36
Lamoce (Lamprologus ocellatus)	Lamprologini	M	ILC1	inter.	haplo110	Lamoce_2_A	haplo79	8.17|8	10.48|9	0.78|0.89
Lamoce (Lamprologus ocellatus)	Lamprologini	F	ILD3	inter.	haplo111	Lamoce_2_B	haplo80	11.25|11	12.23|10	0.92|1.1
LamorC (Lamprologus sp. “ornatipinnis congo”)	Lamprologini	M	JWA3	inter.	haplo112	LamorC_2	haplo81	9.98|10	10.25|9	0.97|1.11
LamorC (Lamprologus sp. “ornatipinnis congo”)	Lamprologini	F	JWA4	inter.	haplo112	LamorC_2	haplo81	6.94|7	9.91|8	0.7|0.88
Lamorn (Lamprologus ornatipinnis)	Lamprologini	M	JZF3	inter.	haplo114	Lamorn_2_A	haplo83	20.83|21	21.84|19	0.48|0.55
Lamorn (Lamprologus ornatipinnis)	Lamprologini	F	JZF4	inter.	haplo115	Lamorn_2_B	haplo82	17.81|18	18.04|16	0.49|0.56
LamorS (Lamprologus sp. “ornatipinnis zambia”)	Lamprologini	M	JDF5	inter.	haplo113	LamorS_2	haplo82	12.55|13	12.17|10	1.03|1.3
LamorS (Lamprologus sp. “ornatipinnis zambia”)	Lamprologini	F	JDG4	inter.	haplo113	LamorS_2	haplo82	8.29|8	9.75|8	0.85|1
Lamsig (Lamprologus signatus)	Lamprologini	M	IWD5	inter.	haplo116	Lamsig_2	haplo84	9.76|9	12.31|11	0.79|0.82
Lamsig (Lamprologus signatus)	Lamprologini	F	IWD6	inter.	haplo116	Lamsig_2	haplo84	14.06|14	14.17|12	0.5|0.58
Lamspe (Lamprologus speciosus)	Lamprologini	M	KCG2	NA	haplo117	Lamspe_2_A	haplo85	10.62|11	15.02|13	0.35|0.42
Lamspe (Lamprologus speciosus)	Lamprologini	F	KCG3	NA	haplo118	Lamspe_2_B	haplo86	16.56|16	20.79|18	0.4|0.44
Lamtig (Lamprologus tigripictilis)	Lamprologini	F	JWF6	NA	haplo119	Lamtig_1	haplo87	21.85|20	21.2|19	0.52|0.53
Lepatt (Lepidiolamprologus attenuatus)	Lamprologini	M	AVD4	inter.	haplo99	Lepatt_2	haplo74	8.94|9	11.11|9	0.81|1
Lepatt (Lepidiolamprologus attenuatus)	Lamprologini	F	AVG5	inter.	haplo99	Lepatt_2	haplo74	9.84|10	12.23|10	0.8|1
Lepcun (Lepidiolamprologus cunningtoni)	Lamprologini	F	IOH4	inter.	haplo120	Lepcun_2	haplo88	9.18|9	12.11|10	0.76|0.9
Lepcun (Lepidiolamprologus cunningtoni)	Lamprologini	M	IOH5	inter.	haplo120	Lepcun_2	haplo88	21.08|21	19.7|18	0.53|0.58
Lepelo (Lepidiolamprologus elongatus)	Lamprologini	M	AUE6	inter.	haplo99	Lepelo_2	haplo74	10.73|10	10.93|9	0.98|1.11
Lepelo (Lepidiolamprologus elongatus)	Lamprologini	F	Aug.08	inter.	haplo99	Lepelo_2	haplo74	11.02|11	11.45|10	0.96|1.1
Lepkam (Lepidiolamprologus kamambae)	Lamprologini	M	LFF7	NA	haplo121	Lepkam_2	haplo89	9.45|9	8.93|7	1.06|1.29
Lepkam (Lepidiolamprologus kamambae)	Lamprologini	F	LFF8	NA	haplo121	Lepkam_2	haplo89	11.95|12	12.43|11	0.96|1.09
Lepken (Lepidiolamprologus kendalli)	Lamprologini	M	IMD1	inter.	haplo121	Lepken_2_A	haplo89	20.24|21	20.71|18	0.49|0.58
Lepken (Lepidiolamprologus kendalli)	Lamprologini	F	IMD2	inter.	haplo122	Lepken_2_B	haplo90	11.08|11	11.64|10	0.95|1.1
LepmeK (Lepidiolamprologus sp. “meeli kipili”)	Lamprologini	F	LHA2	inter.	haplo99	LepmeK_2_B	haplo74	9.06|9	11.12|9	0.81|1
LepmeK (Lepidiolamprologus sp. “meeli kipili”)	Lamprologini	M	LHA5	inter.	haplo123	LepmeK_2_A	haplo74	12.98|13	11.98|10	1.08|1.3
Lepmim (Lepidiolamprologus mimicus)	Lamprologini	M	LDD1	inter.	haplo121	Lepmim_2_A	haplo89	9.3|9	11.49|10	0.81|0.9
Lepmim (Lepidiolamprologus mimicus)	Lamprologini	F	LDD6	inter.	haplo124	Lepmim_2_B	haplo91	13.2|13	11.42|10	1.16|1.3
Leppro (Lepidiolamprologus profundicola)	Lamprologini	M	KAD2	inter.	haplo125	Leppro_2	haplo74	10.79|11	12.7|11	0.42|0.5
Leppro (Lepidiolamprologus profundicola)	Lamprologini	F	KEB8	inter.	haplo125	Leppro_2	haplo74	12.78|12	12.88|11	0.5|0.55
Neobif (Neolamprologus bifasciatus)	Lamprologini	M	LHF6	deep	haplo100	Neobif_2_A	haplo75	5.83|5	10.87|9	0.54|0.56
Neobif (Neolamprologus bifasciatus)	Lamprologini	F	LHF7	deep	haplo126	Neobif_2_B	haplo92	11.08|11	10.81|9	1.02|1.22
Neobou (Neolamprologus boulengeri)	Lamprologini	F	KCE5	inter.	haplo114	Neobou_2	haplo83	9.59|9	10.36|9	0.93|1
Neobou (Neolamprologus boulengeri)	Lamprologini	M	KYB9	inter.	haplo114	Neobou_2	haplo83	12.62|12	11.57|10	1.09|1.2
Neobre (Neolamprologus brevis)	Lamprologini	M	ILB6	inter.	haplo128	Neobre_2	haplo84	8.42|8	9.68|8	0.87|1
Neobre (Neolamprologus brevis)	Lamprologini	F	ILB7	inter.	haplo128	Neobre_2	haplo84	7.3|7	10.01|8	0.73|0.88
Neobri (Neolamprologus brichardi)	Lamprologini	F	JUH9	inter.	haplo99	Neobri_2	haplo74	12.19|12	12.37|11	0.49|0.55
Neobri (Neolamprologus brichardi)	Lamprologini	M	JUI1	inter.	haplo99	Neobri_2	haplo74	7.48|8	9.13|8	0.82|1
NeobrM (Neolamprologus sp. “brevis magara”)	Lamprologini	M	KCI6	inter.	haplo127	NeobrM_2_A	haplo84	16.77|17	20.56|18	0.41|0.47
NeobrM (Neolamprologus sp. “brevis magara”)	Lamprologini	F	KCI7	inter.	haplo128	NeobrM_2_B	haplo84	10.89|11	11.02|9	0.99|1.22
Neobue (Neolamprologus buescheri)	Lamprologini	M	JEI4	deep	haplo100	Neobue_2	haplo75	5.26|5	10.7|9	0.49|0.56
Neobue (Neolamprologus buescheri)	Lamprologini	F	JEI5	deep	haplo100	Neobue_2	haplo75	9.27|9	10.98|9	0.84|1
NeocaK (Neolamprologus sp. “caudopunctatus kipili”)	Lamprologini	M	LDG2	inter.	haplo129	NeocaK_2	haplo93	10.58|10	10.6|9	1|1.11
NeocaK (Neolamprologus sp. “caudopunctatus kipili”)	Lamprologini	F	LDG3	inter.	haplo129	NeocaK_2	haplo93	9.84|9	12.03|10	0.82|0.9
Neocal (Neolamprologus calliurus)	Lamprologini	M	ILA7	inter.	haplo130	Neocal_2_A	haplo84	10.91|10	14.53|13	0.75|0.77
Neocal (Neolamprologus calliurus)	Lamprologini	F	INC7	inter.	haplo131	Neocal_2_B	haplo94	7.63|7	12.12|10	0.63|0.7
Neocau (Neolamprologus caudopunctatus)	Lamprologini	M	IQA3	shallow	haplo95	Neocau_2_B	haplo71	19.47|20	21.85|20	0.45|0.5
Neocau (Neolamprologus caudopunctatus)	Lamprologini	F	IQA4	shallow	haplo132	Neocau_2_A	haplo95	11.78|11	11.36|10	1.04|1.1
Neochi (Neolamprologus chitamwebwai)	Lamprologini	M	KHA7	inter.	haplo133	Neochi_2	haplo76	10.08|10	10.42|9	0.97|1.11
Neochi (Neolamprologus chitamwebwai)	Lamprologini	F	KHA9	inter.	haplo133	Neochi_2	haplo76	8.7|9	8.81|7	0.99|1.29
Neochr (Neolamprologus christyi)	Lamprologini	F	ITG2	inter.	haplo134	Neochr_1	haplo88	10.73|11	12.25|11	0.88|1
Neochr (Neolamprologus christyi)	Lamprologini	M	IZI8	inter.	NA	NA	NA	6.08|6	9.73|8	0.63|0.75
Neocra (Neolamprologus crassus)	Lamprologini	M	IVE8	inter.	haplo102	Neocra_2	haplo74	13.07|13	12.89|11	1.01|1.18
Neocra (Neolamprologus crassus)	Lamprologini	F	IVF1	inter.	haplo102	Neocra_2	haplo74	10.2|10	12.98|11	0.79|0.91
Neocyg (Neolamprologus sp. “cygnus”)	Lamprologini	M	LFD2	inter.	haplo100	Neocyg_2	haplo75	12.34|13	12.29|10	1|1.3
Neocyg (Neolamprologus sp. “cygnus”)	Lamprologini	F	LFD4	inter.	haplo100	Neocyg_2	haplo75	12.64|13	11.9|10	1.06|1.3
Neocyl (Neolamprologus cylindricus)	Lamprologini	M	GPH1	inter.	haplo135	Neocyl_2	haplo96	18.96|18	20.29|18	0.47|0.5
Neocyl (Neolamprologus cylindricus)	Lamprologini	F	GPH2	inter.	haplo135	Neocyl_2	haplo96	11.79|12	14.34|12	0.82|1
Neodev (Neolamprologus devosi)*	Lamprologini	M	LEH2	NA	haplo136	Neodev_1	haplo97	16.14|17	15.08|13	1.07|1.31
Neoese (Neolamprologus sp. “eseki”)	Lamprologini	M	LFB7	inter.	haplo137	Neoese_2_A	haplo98	11.79|12	8.96|8	1.32|1.5
Neoese (Neolamprologus sp. “eseki”)	Lamprologini	F	LFB9	inter.	haplo138	Neoese_2_B	haplo99	10.83|10	11.96|11	0.91|0.91
Neofal (Neolamprologus falcicula)	Lamprologini	M	JXD4	inter.	haplo133	Neofal_2	haplo76	13.71|13	13.43|12	1.02|1.08
Neofal (Neolamprologus falcicula)	Lamprologini	F	JXD7	inter.	haplo133	Neofal_2	haplo76	16.03|16	16.47|15	0.97|1.07
NeofaM (Neolamprologus sp. “falcicula mahale”)	Lamprologini	F	LCB5	inter.	haplo102	NeofaM_2	haplo74	7.01|7	9.17|8	0.76|0.88
NeofaM (Neolamprologus sp. “falcicula mahale”)	Lamprologini	M	LCC2	inter.	haplo102	NeofaM_2	haplo74	9.76|9	8.99|8	1.09|1.12
Neofur (Neolamprologus furcifer)	Lamprologini	M	JEI6	inter.	haplo99	Neofur_2	haplo74	10.8|11	15.05|13	0.36|0.42
Neofur (Neolamprologus furcifer)	Lamprologini	F	JEI8	inter.	haplo99	Neofur_2	haplo74	21.98|22	19.04|17	0.58|0.65
NeofuU (Neolamprologus sp. “furcifer ulwile”)	Lamprologini	F	LDF4	inter.	haplo99	NeofuU_2	haplo74	9.07|9	11.24|10	0.81|0.9
NeofuU (Neolamprologus sp. “furcifer ulwile”)	Lamprologini	M	LDF5	inter.	haplo99	NeofuU_2	haplo74	11.88|12	11.39|10	1.04|1.2
Neogra (Neolamprologus gracilis)	Lamprologini	F	JWH1	inter.	haplo102	Neogra_2	haplo74	12.92|12	16.8|15	0.38|0.4
Neogra (Neolamprologus gracilis)	Lamprologini	M	JWH2	inter.	haplo102	Neogra_2	haplo74	19.18|20	19.33|17	0.5|0.59
NeogrM (Neolamprologus sp. “gracilis tanzania”)	Lamprologini	M	LCB4	inter.	haplo99	NeogrM_2_B	haplo74	8.21|8	9.83|8	0.84|1
NeogrM (Neolamprologus sp. “gracilis tanzania”)	Lamprologini	F	LCC6	inter.	haplo139	NeogrM_2_A	haplo74	11.15|11	10.18|9	1.1|1.22
Neohec (Neolamprologus hecqui)	Lamprologini	M	A142	inter.	haplo140	Neohec_3_A	haplo100	16.98|16	17.47|15	0.49|0.53
Neohec (Neolamprologus hecqui)	Lamprologini		Bel13	inter.	haplo141	Neohec_3_BC	haplo100	6.86|7	9.57|8	0.72|0.88
Neohec (Neolamprologus hecqui)	Lamprologini		Bel14	inter.	haplo141	Neohec_3_BC	haplo100	9.04|9	10.19|8	0.89|1.12
Neohel (Neolamprologus helianthus)	Lamprologini	F	JWG8	inter.	haplo99	Neohel_2	haplo74	8.97|9	8.14|7	1.1|1.29
Neohel (Neolamprologus helianthus)	Lamprologini	M	JWG9	inter.	haplo99	Neohel_2	haplo74	13.8|14	15.62|14	0.44|0.5
Neokom (Neolamprologus sp. “kombe”)	Lamprologini	M	ILE5	shallow	haplo99	Neokom_2	haplo74	6.44|6	8.43|7	0.76|0.86
Neokom (Neolamprologus sp. “kombe”)	Lamprologini	F	ILE6	shallow	haplo99	Neokom_2	haplo74	10.2|10	11.89|10	0.86|1
Neolap (Lamprologus laparogramma)	Lamprologini	F	JDI1	inter.	haplo116	Neolap_2	haplo84	9.14|8	11.84|10	0.77|0.8
Neolap (Lamprologus laparogramma)	Lamprologini	M	JDI2	inter.	haplo116	Neolap_2	haplo84	13.52|13	14.62|12	0.46|0.54
NeoleL (Neolamprologus leleupi)	Lamprologini		JWH9	inter.	haplo142	NeoleL_1	haplo74	13.27|13	15.9|14	0.42|0.46
Neoleu (Neolamprologus longior)	Lamprologini	M	KEH3	inter.	haplo143	Neoleu_2	haplo75	17.63|18	18.85|17	0.47|0.53
Neoleu (Neolamprologus longior)	Lamprologini	F	LEE1	inter.	haplo143	Neoleu_2	haplo75	8.37|8	10.43|9	0.8|0.89
Neolon (Neolamprologus longicaudatus)	Lamprologini	M	JWI2	inter.	haplo100	Neolon_2	haplo75	12.75|13	12.15|10	1.05|1.3
Neolon (Neolamprologus longicaudatus)	Lamprologini	F	JWI3	inter.	haplo100	Neolon_2	haplo75	13.33|13	15.93|14	0.84|0.93
Neolou (Neolamprologus leloupi)	Lamprologini	M	LCA1	inter.	haplo144	Neolou_2	haplo101	12.13|12	10.98|9	1.1|1.33
Neolou (Neolamprologus leloupi)	Lamprologini	F	LCA2	inter.	haplo144	Neolou_2	haplo101	11.5|11	12.25|10	0.94|1.1
Neomar (Neolamprologus marunguensis)	Lamprologini	M	JWH3	NA	haplo102	Neomar_2	haplo74	16.18|17	16.26|14	0.5|0.61
Neomar (Neolamprologus marunguensis)	Lamprologini	F	JWH4	NA	haplo102	Neomar_2	haplo74	16.07|16	16.71|15	0.48|0.53
Neomee (Neolamprologus meeli)	Lamprologini	M	JDF3	inter.	haplo99	Neomee_2	haplo74	10.06|10	10.13|8	0.99|1.25
Neomee (Neolamprologus meeli)	Lamprologini	F	JDF4	inter.	haplo99	Neomee_2	haplo74	17.06|17	20.7|18	0.41|0.47
Neomod (Neolamprologus modestus)	Lamprologini	M	IMG9	shallow	haplo137	Neomod_2	haplo98	12.41|12	12.19|11	1.02|1.09
Neomod (Neolamprologus modestus)	Lamprologini	F	IMH3	shallow	haplo137	Neomod_2	haplo98	12.96|13	14.27|13	0.91|1
Neomon (Neolamprologus mondabu)	Lamprologini	M	JVB4	shallow	haplo137	Neomon_2	haplo98	11.04|11	15.79|14	0.7|0.79
Neomon (Neolamprologus mondabu)	Lamprologini	F	JVB8	shallow	haplo137	Neomon_2	haplo98	9.74|10	13.27|12	0.73|0.83
Neomul (Neolamprologus multifasciatus)	Lamprologini	M	IRF6 (no genome draft assembly)	inter.	haplo145	Neomul_2_A	haplo102	10.35|9	10.7|9	0.97|1
Neomul (Neolamprologus multifasciatus)	Lamprologini	F	IRF8	inter.	haplo146	Neomul_2_B	haplo103	8.07|8	9.6|8	0.84|1
Neomux (Neolamprologus mustax)	Lamprologini	F	ILB4	inter.	haplo147	Neomux_2	haplo74	11.37|12	12.5|11	0.91|1.09
Neomux (Neolamprologus mustax)	Lamprologini	M	ILH1	inter.	haplo147	Neomux_2	haplo74	9.47|9	9.51|8	1|1.12
Neonig (Neolamprologus niger)	Lamprologini	M	KYA1	deep	haplo135	Neonig_2	haplo96	8.84|9	9.45|8	0.94|1.12
Neonig (Neolamprologus niger)	Lamprologini	F	KYA5	deep	haplo135	Neonig_2	haplo96	9.14|9	10.06|8	0.91|1.12
Neonve (Neolamprologus nigriventris)	Lamprologini	F	A108	deep	haplo100	Neonve_2_A	haplo75	12.92|13	14.57|12	0.89|1.08
Neonve (Neolamprologus nigriventris)	Lamprologini	M	LJC3	deep	haplo148	Neonve_2_B	haplo75	15.55|14	16.2|14	0.48|0.5
Neoobs (Neolamprologus obscurus)	Lamprologini	F	IMA1	inter.	haplo135	Neoobs_2	haplo96	10.95|11	11.08|9	0.99|1.22
Neoobs (Neolamprologus obscurus)	Lamprologini	M	IMA2	inter.	haplo135	Neoobs_2	haplo96	9.26|9	9.81|8	0.94|1.12
Neooli (Neolamprologus olivaceous)	Lamprologini	F	JWH5	NA	haplo149	Neooli_2	haplo74	17.59|17	15.98|14	0.55|0.61
Neooli (Neolamprologus olivaceous)	Lamprologini	M	JWH6	NA	haplo149	Neooli_2	haplo74	10.72|11	17.24|15	0.31|0.37
Neopec (Neolamprologus pectoralis)	Lamprologini	M	JWA7	deep	haplo100	Neopec_2	haplo75	14.98|14	16.63|15	0.45|0.47
Neopec (Neolamprologus pectoralis)	Lamprologini	F	JWI6	deep	haplo100	Neopec_2	haplo75	13.62|14	16.57|14	0.41|0.5
Neopet (Neolamprologus petricola)	Lamprologini	M	LGH8	shallow	haplo150	Neopet_2_B	haplo104	12.24|12	11.3|10	1.08|1.2
Neopet (Neolamprologus petricola)	Lamprologini	F	LGI1	shallow	haplo137	Neopet_2_A	haplo98	10.79|11	11.72|10	0.92|1.1
Neople (Neolamprologus pleuromaculatus)	Lamprologini	M	JZF1	NA	haplo114	Neople_2	haplo83	12.42|12	12.17|10	1.02|1.2
Neople (Neolamprologus pleuromaculatus)	Lamprologini	F	JZF2	NA	haplo114	Neople_2	haplo83	21.12|21	21.36|19	0.49|0.55
Neopro (Neolamprologus prochilus)	Lamprologini	M	IVH1	inter.	haplo151	Neopro_2	haplo74	8.62|8	11.68|10	0.74|0.8
Neopro (Neolamprologus prochilus)	Lamprologini	F	IVH2	inter.	haplo151	Neopro_2	haplo74	9.77|9	10.96|9	0.89|1
Neopul (Neolamprologus pulcher)	Lamprologini	M	ISA6	inter.	haplo99	Neopul_2	haplo774	8.18|8	10.1|9	0.81|0.89
Neopul (Neolamprologus pulcher)	Lamprologini	F	ISB3	inter.	haplo99	Neopul_2	haplo74	11.35|11	11.43|10	0.99|1.1
Neosav (Neolamprologus savoryi)	Lamprologini	M	ISA8	inter.	haplo99	Neosav_2_B	haplo74	11.89|12	12.91|11	0.92|1.09
Neosav (Neolamprologus savoryi)	Lamprologini	F	IYA4	inter.	haplo152	Neosav_2_A	haplo74	8.98|8	9.75|8	0.92|1
Neosex (Neolamprologus sexfasciatus)	Lamprologini	M	IND7	inter.	haplo153	Neosex_2	haplo105	8.36|8	12.08|10	0.69|0.8
Neosex (Neolamprologus sexfasciatus)	Lamprologini	F	IND8	inter.	haplo153	Neosex_2	haplo105	9.43|8	11.3|10	0.83|0.8
Neosim (Neolamprologus similis)	Lamprologini	M	KEC1	inter.	haplo154	Neosim_2_A	haplo106	12.51|12	12.93|11	0.48|0.55
Neosim (Neolamprologus similis)	Lamprologini	F	KEC2	inter.	haplo155	Neosim_2_B	haplo106	12.88|12	11.47|10	1.12|1.2
Neospl (Neolamprologus splendens)	Lamprologini	M	A188	NA	haplo99	Neospl_2	haplo74	16.73|16	12.18|7	1.37|2.29
Neospl (Neolamprologus splendens)	Lamprologini	M	LJD3	NA	haplo99	Neospl_2	haplo74	22.42|22	13.99|9	1.6|2.44
Neotet (Neolamprologus tetracanthus)	Lamprologini	M	IPF7	shallow	haplo156	Neotet_2_A	haplo105	8.1|8	10.12|9	0.8|0.89
Neotet (Neolamprologus tetracanthus)	Lamprologini	F	IPG3	shallow	haplo157	Neotet_2_B	haplo105	13.78|14	15.27|14	0.9|1
Neotim (Neolamprologus timidus)	Lamprologini	M	LGE2	NA	haplo135	Neotim_2	haplo96	8.65|8	11.29|10	0.77|0.8
Neotim (Neolamprologus timidus)	Lamprologini	F	LGE3	NA	haplo135	Neotim_2	haplo96	7.75|8	9.3|8	0.83|1
Neotoa (Neolamprologus toae)	Lamprologini	M	JZD5	inter.	haplo158	Neotoa_2	haplo107	13.39|14	12.47|11	1.07|1.27
Neotoa (Neolamprologus toae)	Lamprologini	F	JZD6	inter.	haplo158	Neotoa_2	haplo107	10.05|10	13.59|12	0.74|0.83
Neotre (Neolamprologus tretocephalus)	Lamprologini	M	KFH4	inter.	haplo153	Neotre_2	haplo105	12.12|12	11.57|10	1.05|1.2
Neotre (Neolamprologus tretocephalus)	Lamprologini	F	KFH5	inter.	haplo153	Neotre_2	haplo105	11.71|12	11.59|10	1.01|1.2
Neovar (Neolamprologus variostigma)	Lamprologini	M	JWA5	deep	haplo159	Neovar_2	haplo108	20.38|20	21.85|20	0.47|0.5
Neovar (Neolamprologus variostigma)	Lamprologini	F	JWA6	deep	haplo159	Neovar_2	haplo108	21.7|21	24.37|22	0.45|0.48
NeoveB (Neolamprologus ventralis (Burundi))	Lamprologini	M	KAG7	deep	haplo112	NeoveB_2	haplo81	20.53|20	21.86|19	0.47|0.53
NeoveB (Neolamprologus ventralis (Burundi))	Lamprologini	F	KAG8	deep	haplo112	NeoveB_2	haplo81	24.58|24	23.52|21	0.52|0.57
NeoveS (Neolamprologus sp. “ventralis stripe”)	Lamprologini	M	JED4	deep	haplo160	NeoveS_2_B	haplo109	10.4|10	11.99|10	0.87|1
NeoveS (Neolamprologus sp. “ventralis stripe”)	Lamprologini	F	JED5	deep	haplo112	NeoveS_2_A	haplo81	21.22|22	21.02|19	0.5|0.58
Neowal (Neolamprologus walteri)	Lamprologini	F	KFD2	inter.	haplo133	Neowal_2_A	haplo76	6.88|7	10.9|9	0.63|0.78
Neowal (Neolamprologus walteri)	Lamprologini	M	KFD4	inter.	haplo161	Neowal_2_B	haplo76	7.97|8	10.66|9	0.75|0.89
Telbif (Telmatochromis bifrenatus)	Lamprologini	M	KYB7	inter.	haplo162	Telbif_2	haplo110	9.04|9	10.59|9	0.85|1
Telbif (Telmatochromis bifrenatus)	Lamprologini	F	KYB8	inter.	haplo162	Telbif_2	haplo110	9.93|10	10.94|9	0.91|1.11
Telbra (Telmatochromis brachygnathus)	Lamprologini	M	JBE8	shallow	haplo163	Telbra_2_A	haplo111	9.87|10	9.92|8	0.99|1.25
Telbra (Telmatochromis brachygnathus)	Lamprologini	F	JBE9	shallow	haplo164	Telbra_2_B	haplo111	7.27|7	10.3|9	0.71|0.78
Telbri (Telmatochromis brichardi)	Lamprologini	M	JVI9	inter.	haplo162	Telbri_2	haplo110	14.45|15	12.16|11	1.19|1.36
Telbri (Telmatochromis brichardi)	Lamprologini	F	JXA4	inter.	haplo162	Telbri_2	haplo110	8.41|8	11.94|10	0.7|0.8
